A-levels scores,Education,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Was Hired by a Company within 6 months
49,business,salaried,transportation,101050,0,0
43,business,salaried,arts,84893,1,0
59,arts,contractual,health,88258,0,0
49,arts,unemployed,unemployed,141120,1,0
56,business,self business,health,139109,0,0
76,arts,unemployed,unemployed,0,0,0
88,business,self business,it,149586,1,1
87,business,salaried,accounting,75696,1,1
64,law,salaried,accounting,78075,1,0
56,stem,salaried,health,46059,0,0
75,law,unemployed,unemployed,0,0,0
63,law,self business,law,81851,1,0
54,arts,self business,engineering,129510,0,0
43,business,self business,accounting,132491,1,0
54,arts,unemployed,unemployed,52351,0,0
43,stem,salaried,law,134993,0,0
48,law,contractual,accounting,88189,0,0
82,business,self business,arts,0,1,1
63,stem,salaried,transportation,118284,0,0
79,business,salaried,arts,54334,1,0
60,stem,salaried,transportation,82840,1,0
83,arts,contractual,accounting,121681,1,1
53,business,self business,transportation,121035,0,0
51,arts,salaried,engineering,64663,0,0
42,business,self business,accounting,97421,1,0
40,law,unemployed,unemployed,0,1,0
67,stem,self business,transportation,149218,0,0
49,law,salaried,it,117318,1,0
81,business,contractual,engineering,146244,1,1
73,law,salaried,engineering,103709,1,0
78,law,contractual,arts,148807,0,0
56,law,self business,health,123712,1,0
71,stem,salaried,law,71638,1,0
83,stem,self business,health,144853,1,1
85,stem,contractual,arts,137288,1,1
65,stem,self business,arts,54890,0,0
63,stem,salaried,arts,100339,0,0
53,arts,contractual,it,55131,1,0
83,law,self business,it,98439,1,1
88,stem,salaried,transportation,0,1,1
44,business,salaried,engineering,75636,1,0
77,business,salaried,transportation,70032,1,0
62,business,unemployed,unemployed,40225,1,0
54,stem,self business,law,67207,1,0
77,arts,unemployed,unemployed,0,1,0
55,law,salaried,transportation,105507,1,0
65,stem,self business,it,89456,1,0
69,arts,contractual,law,148963,1,0
50,stem,contractual,accounting,133414,1,0
75,business,contractual,health,86770,0,0
40,stem,contractual,law,64487,1,0
82,law,contractual,arts,61392,1,1
64,business,unemployed,unemployed,0,1,0
73,business,self business,accounting,77598,1,1
78,law,salaried,law,60195,1,0
56,law,unemployed,unemployed,0,1,0
89,law,salaried,law,0,1,1
86,arts,self business,health,77644,1,1
69,stem,salaried,accounting,75314,0,0
52,business,contractual,accounting,126394,0,0
63,business,contractual,accounting,77692,1,0
73,stem,self business,it,86780,1,0
86,business,salaried,health,132052,1,1
70,business,contractual,health,70880,1,1
59,law,salaried,transportation,40359,0,0
50,stem,salaried,transportation,77061,1,0
74,stem,unemployed,unemployed,0,1,0
48,law,self business,transportation,109628,1,0
77,stem,unemployed,unemployed,0,1,0
65,stem,contractual,law,51649,0,0
64,business,salaried,it,95872,1,0
44,arts,unemployed,unemployed,0,1,0
57,business,unemployed,unemployed,0,0,0
84,stem,self business,law,56772,1,1
74,stem,unemployed,unemployed,0,1,0
46,business,contractual,it,90705,1,0
69,stem,unemployed,unemployed,0,1,0
85,law,salaried,accounting,0,1,1
46,stem,self business,it,83263,0,0
57,stem,contractual,health,112833,1,0
65,stem,salaried,accounting,62236,1,0
46,arts,contractual,law,53183,1,0
60,law,salaried,transportation,65392,0,0
68,law,self business,it,88961,0,0
71,arts,salaried,law,139137,1,0
73,arts,unemployed,unemployed,0,0,0
62,law,salaried,arts,112004,1,0
83,business,salaried,accounting,47159,1,1
89,stem,salaried,law,105179,1,1
42,business,contractual,engineering,117781,1,0
83,business,contractual,transportation,141122,1,1
57,business,unemployed,unemployed,0,1,0
54,law,salaried,transportation,127808,1,0
54,business,self business,accounting,67135,1,0
63,law,self business,health,133744,1,0
89,stem,salaried,accounting,60422,1,1
47,law,self business,accounting,130241,0,0
83,law,salaried,accounting,146700,1,1
40,arts,unemployed,unemployed,0,0,0
53,law,self business,accounting,117603,1,0
71,business,contractual,health,51176,1,1
69,arts,contractual,accounting,113416,1,0
81,stem,self business,health,0,1,1
81,stem,self business,engineering,78444,1,1
86,stem,contractual,it,45094,1,1
77,business,contractual,transportation,47597,1,1
76,stem,salaried,accounting,74836,1,0
88,stem,salaried,law,50223,1,1
52,law,unemployed,unemployed,0,0,0
89,arts,self business,accounting,0,1,1
40,stem,self business,it,76823,0,0
62,law,unemployed,unemployed,0,0,0
74,stem,self business,law,100142,0,0
76,stem,unemployed,unemployed,0,0,0
53,stem,self business,arts,106338,1,0
67,law,self business,accounting,88729,1,0
75,stem,unemployed,unemployed,73566,0,0
83,stem,contractual,health,81201,1,1
87,stem,self business,transportation,0,1,1
51,arts,unemployed,unemployed,0,1,0
65,stem,unemployed,unemployed,0,1,0
87,business,contractual,law,138845,1,1
53,stem,self business,transportation,145508,0,0
51,arts,salaried,engineering,90637,0,0
81,arts,salaried,transportation,85148,1,1
78,arts,unemployed,unemployed,0,0,0
82,stem,self business,engineering,91828,1,1
77,business,salaried,health,67612,1,1
60,law,contractual,it,60950,0,0
52,law,salaried,accounting,140178,1,0
76,arts,unemployed,unemployed,0,0,0
57,arts,salaried,accounting,130746,1,0
71,law,unemployed,unemployed,0,0,0
65,arts,unemployed,unemployed,0,1,0
57,business,contractual,it,42048,1,0
60,law,unemployed,unemployed,0,0,0
61,business,salaried,transportation,112682,0,0
83,law,contractual,arts,0,1,1
64,law,unemployed,unemployed,0,0,0
42,stem,self business,law,49512,0,0
43,arts,contractual,transportation,96805,1,0
68,stem,unemployed,unemployed,0,1,0
79,stem,contractual,it,41780,1,1
89,law,salaried,health,88685,1,1
69,stem,unemployed,unemployed,0,1,0
88,business,self business,law,149330,1,1
55,law,self business,health,138642,0,0
64,law,unemployed,unemployed,87923,1,0
73,arts,unemployed,unemployed,130504,0,0
42,law,unemployed,unemployed,120597,0,0
89,law,contractual,transportation,135346,1,1
67,law,salaried,engineering,45395,1,0
85,arts,contractual,engineering,142566,1,1
80,stem,unemployed,unemployed,0,1,0
88,stem,contractual,law,78077,1,1
86,business,salaried,it,49583,1,1
48,business,salaried,accounting,111447,0,0
80,arts,contractual,accounting,133165,0,0
63,law,unemployed,unemployed,0,0,0
59,business,self business,law,45336,0,0
55,business,unemployed,unemployed,0,0,0
59,stem,contractual,engineering,78004,0,0
50,law,contractual,accounting,53762,0,0
88,law,salaried,accounting,0,1,1
43,business,unemployed,unemployed,142833,1,0
75,law,salaried,accounting,50213,1,0
70,business,unemployed,unemployed,0,1,0
79,arts,self business,arts,133410,1,1
63,stem,unemployed,unemployed,47247,1,0
80,business,self business,arts,63507,0,0
74,law,unemployed,unemployed,0,1,0
53,business,salaried,arts,118581,0,0
48,law,contractual,health,103571,1,0
40,arts,unemployed,unemployed,0,0,0
40,arts,self business,accounting,61560,1,0
60,law,contractual,arts,115142,1,0
67,stem,contractual,accounting,127737,1,0
75,business,contractual,accounting,48853,1,1
53,law,unemployed,unemployed,112842,1,0
51,stem,contractual,it,40664,0,0
73,stem,unemployed,unemployed,41066,1,0
63,arts,salaried,engineering,95446,0,0
54,stem,salaried,transportation,146662,1,0
46,law,salaried,health,84728,1,0
66,law,unemployed,unemployed,0,1,0
71,business,salaried,transportation,69853,0,0
64,stem,self business,arts,112771,1,0
67,arts,unemployed,unemployed,45410,0,0
89,law,contractual,accounting,0,1,1
58,stem,unemployed,unemployed,80969,0,0
78,arts,self business,it,94909,0,0
64,law,contractual,arts,53533,0,0
48,stem,unemployed,unemployed,55600,0,0
56,law,contractual,it,49780,1,0
49,arts,contractual,engineering,140117,0,0
82,law,salaried,it,55273,1,1
67,stem,self business,engineering,134739,0,0
78,stem,self business,it,109817,1,1
55,business,unemployed,unemployed,0,1,0
52,arts,salaried,arts,86212,1,0
77,law,self business,arts,0,1,1
79,business,self business,law,115203,1,1
55,stem,unemployed,unemployed,0,0,0
85,law,contractual,law,112532,1,1
63,arts,salaried,it,134653,0,0
62,arts,self business,transportation,119772,1,0
71,arts,salaried,accounting,97582,1,1
86,stem,salaried,accounting,40637,1,1
53,arts,self business,accounting,143444,0,0
81,arts,contractual,arts,56951,1,1
78,law,salaried,it,141408,0,0
44,stem,self business,it,70598,0,0
51,law,self business,transportation,46790,0,0
69,law,unemployed,unemployed,0,1,0
44,arts,unemployed,unemployed,43608,0,0
53,business,salaried,transportation,135379,0,0
55,stem,salaried,law,70616,0,0
46,law,contractual,accounting,98212,1,0
42,law,unemployed,unemployed,120164,1,0
80,stem,unemployed,unemployed,0,1,0
68,law,self business,it,60751,0,0
83,law,contractual,it,136118,1,1
86,stem,salaried,health,76687,1,1
77,law,self business,arts,87964,1,0
75,stem,salaried,transportation,66551,0,0
44,law,contractual,it,108960,0,0
55,stem,self business,it,83356,0,0
67,arts,unemployed,unemployed,0,0,0
68,arts,unemployed,unemployed,0,0,0
42,business,unemployed,unemployed,0,1,0
53,law,contractual,it,101279,1,0
80,stem,unemployed,unemployed,67251,1,0
82,business,self business,arts,78647,1,1
63,law,salaried,arts,112126,1,0
43,law,unemployed,unemployed,0,0,0
82,law,self business,health,120995,1,1
76,law,contractual,accounting,40794,0,0
43,law,unemployed,unemployed,0,0,0
75,arts,unemployed,unemployed,115164,1,0
51,law,unemployed,unemployed,52607,1,0
68,law,unemployed,unemployed,0,0,0
77,arts,contractual,it,107897,0,0
51,arts,contractual,arts,100777,0,0
49,arts,unemployed,unemployed,0,0,0
59,arts,contractual,it,64068,1,0
74,law,contractual,accounting,147701,0,0
50,stem,salaried,engineering,137002,0,0
51,stem,unemployed,unemployed,0,0,0
71,stem,self business,engineering,0,1,1
65,business,salaried,accounting,70319,1,0
59,business,salaried,law,66669,0,0
63,law,salaried,law,83027,0,0
76,arts,salaried,transportation,124283,1,0
44,business,unemployed,unemployed,0,1,0
44,arts,salaried,law,122187,0,0
76,law,unemployed,unemployed,61568,1,0
68,arts,salaried,transportation,137019,0,0
53,business,contractual,transportation,75758,0,0
72,stem,salaried,accounting,61276,1,0
48,stem,salaried,it,144620,0,0
87,stem,contractual,it,54491,1,1
63,stem,contractual,transportation,122764,1,0
44,business,salaried,engineering,133491,1,0
83,business,self business,law,106699,1,1
85,law,contractual,it,91443,1,1
84,law,salaried,health,0,1,1
43,stem,contractual,accounting,135327,1,0
56,arts,salaried,law,99803,0,0
58,stem,unemployed,unemployed,0,0,0
65,law,salaried,health,43850,1,0
56,stem,contractual,arts,112657,1,0
80,business,salaried,accounting,95191,0,0
67,stem,unemployed,unemployed,0,0,0
69,arts,unemployed,unemployed,0,0,0
85,stem,contractual,health,99092,1,1
73,arts,unemployed,unemployed,0,0,0
79,law,unemployed,unemployed,0,0,0
44,arts,unemployed,unemployed,0,0,0
56,law,self business,accounting,95696,1,0
79,business,self business,health,52233,1,0
48,arts,unemployed,unemployed,0,0,0
43,stem,self business,law,88640,1,0
67,stem,salaried,accounting,80087,1,0
45,stem,contractual,health,83807,1,0
62,law,salaried,transportation,112649,0,0
73,law,self business,transportation,88995,1,1
81,stem,self business,transportation,103442,1,1
75,law,self business,accounting,0,1,1
71,arts,unemployed,unemployed,0,1,0
49,arts,self business,accounting,54622,1,0
66,arts,self business,accounting,75708,0,0
75,business,contractual,law,135679,1,1
43,stem,unemployed,unemployed,0,0,0
59,business,salaried,engineering,70737,1,0
44,stem,contractual,arts,128111,1,0
54,stem,contractual,accounting,41593,0,0
82,arts,contractual,arts,106558,1,1
51,law,unemployed,unemployed,72496,1,0
63,law,salaried,transportation,118873,1,0
64,stem,unemployed,unemployed,47573,1,0
83,arts,self business,health,40517,1,1
82,law,self business,it,111067,1,1
88,business,self business,transportation,93610,1,1
48,business,contractual,transportation,102495,1,0
42,arts,contractual,health,128968,1,0
43,arts,unemployed,unemployed,0,1,0
50,stem,unemployed,unemployed,0,1,0
59,business,unemployed,unemployed,0,1,0
68,law,self business,transportation,71347,0,0
49,law,contractual,transportation,125574,0,0
85,arts,salaried,it,45656,1,1
63,stem,unemployed,unemployed,0,1,0
67,law,salaried,transportation,135217,1,0
89,business,contractual,accounting,136512,1,1
51,business,unemployed,unemployed,0,1,0
72,stem,self business,it,45328,1,0
75,arts,contractual,it,130376,1,0
87,business,self business,transportation,73305,1,1
79,law,self business,engineering,122430,0,0
62,arts,contractual,accounting,125742,0,0
54,arts,unemployed,unemployed,105454,1,0
58,arts,unemployed,unemployed,99655,1,0
47,arts,unemployed,unemployed,0,0,0
72,law,salaried,health,89198,0,0
41,arts,salaried,accounting,61703,0,0
88,stem,salaried,arts,0,1,1
88,stem,contractual,health,57118,1,1
49,law,unemployed,unemployed,0,0,0
51,stem,unemployed,unemployed,0,1,0
79,law,unemployed,unemployed,0,0,0
75,law,unemployed,unemployed,0,1,0
42,arts,salaried,transportation,96536,1,0
84,law,self business,engineering,108491,1,1
81,arts,salaried,transportation,0,1,1
53,law,salaried,arts,90340,0,0
75,stem,unemployed,unemployed,0,1,0
72,stem,unemployed,unemployed,0,1,0
77,arts,salaried,engineering,57781,1,1
47,arts,self business,transportation,69721,0,0
42,stem,unemployed,unemployed,0,0,0
58,business,contractual,it,103771,0,0
81,law,contractual,law,0,1,1
52,arts,unemployed,unemployed,0,1,0
49,business,contractual,law,145763,0,0
42,law,unemployed,unemployed,0,1,0
48,law,self business,arts,68099,0,0
70,arts,self business,law,145028,1,1
69,arts,unemployed,unemployed,0,1,0
63,arts,salaried,engineering,82022,1,0
43,stem,contractual,it,59372,1,0
71,law,unemployed,unemployed,0,0,0
85,stem,salaried,arts,133649,1,1
80,business,unemployed,unemployed,0,1,0
52,business,salaried,health,127025,0,0
87,law,contractual,health,114532,1,1
84,law,self business,it,137888,1,1
74,business,contractual,law,132575,1,1
83,stem,salaried,engineering,79091,1,1
65,stem,self business,engineering,41649,1,0
77,business,self business,transportation,146462,1,1
88,law,contractual,arts,45697,1,1
40,arts,unemployed,unemployed,146703,1,0
52,stem,contractual,accounting,73170,0,0
77,arts,salaried,arts,126320,1,0
44,arts,self business,arts,137598,1,0
56,business,salaried,engineering,56867,0,0
61,arts,salaried,health,49604,0,0
72,business,self business,transportation,63717,0,0
73,stem,salaried,arts,114009,1,1
88,business,contractual,engineering,0,1,1
56,arts,unemployed,unemployed,60832,0,0
86,stem,contractual,accounting,0,1,1
87,business,salaried,arts,0,1,1
78,business,unemployed,unemployed,0,0,0
65,business,contractual,law,108328,0,0
48,law,self business,engineering,106388,0,0
53,stem,contractual,transportation,148152,1,0
81,law,salaried,law,40939,1,1
86,arts,salaried,engineering,54567,1,1
70,law,self business,engineering,101199,1,1
55,business,contractual,arts,142369,0,0
50,law,self business,arts,98541,0,0
61,arts,self business,transportation,67572,0,0
47,arts,self business,health,87836,0,0
43,law,contractual,engineering,96518,1,0
85,arts,self business,accounting,103250,1,1
67,business,self business,health,134068,0,0
63,arts,contractual,accounting,120590,1,0
88,law,self business,transportation,0,1,1
64,law,salaried,accounting,137391,0,0
62,arts,self business,arts,89368,1,0
75,stem,self business,law,60435,1,0
66,law,unemployed,unemployed,0,0,0
44,law,salaried,it,64456,1,0
59,business,unemployed,unemployed,95226,1,0
46,stem,contractual,transportation,42137,0,0
51,stem,contractual,law,130626,1,0
88,arts,self business,it,90584,1,1
86,law,contractual,law,0,1,1
86,law,contractual,transportation,135766,1,1
71,stem,contractual,transportation,133377,1,0
82,stem,self business,law,112848,1,1
47,arts,self business,it,140842,0,0
74,business,unemployed,unemployed,0,1,0
75,law,salaried,arts,125410,1,0
63,stem,unemployed,unemployed,0,0,0
59,stem,unemployed,unemployed,0,0,0
75,stem,self business,health,123831,0,0
61,business,self business,accounting,53218,0,0
44,law,self business,health,74935,1,0
88,stem,salaried,health,128982,1,1
70,business,self business,it,0,1,1
73,arts,unemployed,unemployed,0,0,0
61,business,unemployed,unemployed,0,1,0
65,stem,unemployed,unemployed,0,1,0
67,law,unemployed,unemployed,99292,1,0
87,law,contractual,engineering,48765,1,1
76,arts,self business,transportation,0,1,1
58,stem,unemployed,unemployed,0,1,0
77,stem,salaried,it,106042,1,1
81,stem,self business,it,56953,1,1
57,business,contractual,health,83782,1,0
62,stem,unemployed,unemployed,0,1,0
76,stem,self business,accounting,50913,0,0
65,law,unemployed,unemployed,0,0,0
57,business,self business,it,68550,1,0
77,business,self business,law,59735,1,0
60,business,contractual,it,46185,0,0
63,business,self business,it,146521,1,0
74,law,salaried,transportation,50114,0,0
52,arts,unemployed,unemployed,0,0,0
71,stem,self business,it,126926,0,0
50,arts,self business,law,105382,0,0
79,arts,salaried,transportation,90709,0,0
59,arts,salaried,arts,76737,0,0
63,arts,unemployed,unemployed,71237,1,0
76,business,salaried,health,85633,0,0
42,arts,contractual,transportation,141632,0,0
67,arts,contractual,arts,104850,1,0
84,stem,contractual,it,61867,1,1
41,arts,contractual,health,95382,1,0
51,business,contractual,law,129589,0,0
41,stem,salaried,engineering,47080,0,0
84,stem,contractual,accounting,109586,1,1
78,law,contractual,engineering,80440,0,0
62,stem,contractual,health,81754,1,0
58,law,self business,engineering,144497,1,0
53,arts,self business,law,148575,0,0
46,arts,salaried,health,54318,0,0
60,arts,unemployed,unemployed,0,1,0
56,law,salaried,law,123822,0,0
68,business,unemployed,unemployed,0,1,0
45,law,salaried,it,113651,0,0
62,arts,self business,law,40065,0,0
53,business,salaried,engineering,59543,1,0
78,arts,unemployed,unemployed,0,1,0
47,law,unemployed,unemployed,62739,0,0
85,law,salaried,engineering,145946,1,1
47,stem,contractual,engineering,113580,0,0
81,stem,salaried,health,0,1,1
84,arts,salaried,engineering,81651,1,1
62,law,contractual,engineering,42614,0,0
43,law,salaried,arts,99220,1,0
45,stem,salaried,accounting,126855,1,0
78,stem,unemployed,unemployed,0,1,0
71,arts,self business,health,113275,1,1
56,law,unemployed,unemployed,0,1,0
63,law,salaried,arts,62676,0,0
51,arts,salaried,transportation,105045,0,0
65,law,unemployed,unemployed,0,0,0
49,business,contractual,accounting,63614,0,0
51,stem,unemployed,unemployed,0,1,0
53,business,contractual,transportation,89056,0,0
87,law,self business,law,56483,1,1
64,business,contractual,engineering,52073,0,0
69,business,self business,law,91759,0,0
72,law,self business,it,0,1,1
47,arts,self business,it,90888,1,0
42,law,salaried,law,69987,1,0
89,law,contractual,it,65065,1,1
54,law,unemployed,unemployed,0,1,0
52,stem,contractual,it,149547,0,0
63,business,unemployed,unemployed,0,1,0
65,stem,unemployed,unemployed,0,1,0
89,business,self business,arts,45607,1,1
76,arts,self business,engineering,108705,1,0
69,law,salaried,arts,67486,0,0
88,business,self business,accounting,62908,1,1
48,law,self business,arts,44718,1,0
75,stem,unemployed,unemployed,0,0,0
55,stem,salaried,it,65876,0,0
56,stem,contractual,transportation,98233,0,0
76,business,unemployed,unemployed,0,0,0
54,stem,salaried,it,113284,0,0
56,law,salaried,engineering,40218,0,0
80,arts,self business,law,63089,0,0
81,arts,self business,it,93968,1,1
73,law,contractual,it,82726,1,0
63,business,unemployed,unemployed,0,0,0
55,arts,salaried,arts,133670,0,0
79,stem,contractual,it,86677,0,0
82,arts,salaried,health,47305,1,1
54,stem,self business,law,100453,0,0
40,stem,salaried,engineering,108932,1,0
50,stem,self business,accounting,146032,0,0
61,stem,unemployed,unemployed,0,0,0
46,arts,self business,accounting,93675,0,0
73,stem,salaried,transportation,108275,0,0
43,business,self business,transportation,102979,0,0
53,business,salaried,engineering,71544,0,0
48,law,unemployed,unemployed,0,0,0
45,law,unemployed,unemployed,0,0,0
61,business,self business,arts,141662,0,0
66,law,contractual,health,78083,0,0
89,law,self business,arts,101356,1,1
63,stem,contractual,engineering,129581,0,0
72,stem,unemployed,unemployed,0,1,0
41,arts,unemployed,unemployed,0,0,0
68,stem,contractual,transportation,105056,0,0
62,stem,self business,accounting,81996,0,0
46,stem,contractual,health,51541,0,0
56,stem,unemployed,unemployed,0,1,0
56,stem,salaried,engineering,75454,0,0
46,business,unemployed,unemployed,0,0,0
75,stem,self business,transportation,67648,0,0
59,law,unemployed,unemployed,90666,1,0
59,business,unemployed,unemployed,66901,0,0
61,business,salaried,engineering,87820,1,0
81,law,self business,transportation,137165,1,1
79,stem,unemployed,unemployed,0,1,0
77,arts,unemployed,unemployed,0,1,0
81,business,contractual,engineering,0,1,1
57,business,unemployed,unemployed,0,1,0
60,stem,unemployed,unemployed,0,0,0
87,arts,contractual,law,134633,1,1
82,arts,contractual,accounting,60174,1,1
74,law,contractual,engineering,59312,0,0
56,arts,unemployed,unemployed,0,1,0
82,law,self business,transportation,126849,1,1
66,stem,contractual,law,129651,1,0
49,arts,contractual,it,99771,0,0
40,stem,self business,accounting,136755,1,0
79,law,contractual,engineering,78543,0,0
77,business,self business,law,101774,1,0
66,business,unemployed,unemployed,0,1,0
64,business,self business,accounting,60597,0,0
45,stem,unemployed,unemployed,122491,0,0
88,arts,contractual,law,91655,1,1
76,law,self business,transportation,116735,1,0
63,stem,self business,health,128571,0,0
83,law,contractual,arts,148073,1,1
49,arts,unemployed,unemployed,0,0,0
66,arts,contractual,it,136449,0,0
51,business,salaried,transportation,58858,0,0
42,stem,salaried,engineering,93812,0,0
42,business,contractual,accounting,49794,0,0
75,stem,unemployed,unemployed,0,0,0
70,stem,unemployed,unemployed,0,0,0
62,stem,contractual,law,109428,1,0
62,stem,unemployed,unemployed,0,1,0
80,law,self business,engineering,107911,0,0
59,stem,contractual,accounting,121264,1,0
75,law,unemployed,unemployed,0,0,0
82,law,contractual,health,54648,1,1
48,law,salaried,health,76302,1,0
45,stem,unemployed,unemployed,0,1,0
62,law,salaried,engineering,82012,1,0
46,law,unemployed,unemployed,0,0,0
59,stem,unemployed,unemployed,0,0,0
71,business,unemployed,unemployed,0,0,0
79,business,unemployed,unemployed,0,1,0
89,stem,contractual,accounting,43535,1,1
78,law,self business,health,121769,1,0
71,law,unemployed,unemployed,0,1,0
41,business,unemployed,unemployed,0,0,0
72,law,unemployed,unemployed,0,0,0
44,stem,self business,accounting,89078,1,0
86,stem,self business,health,133334,1,1
76,arts,unemployed,unemployed,0,0,0
68,arts,salaried,transportation,41225,1,0
53,law,self business,accounting,88968,1,0
89,business,self business,law,85672,1,1
88,arts,salaried,transportation,42782,1,1
83,business,contractual,accounting,106592,1,1
87,business,contractual,accounting,0,1,1
41,arts,contractual,law,95287,0,0
44,arts,contractual,transportation,43524,1,0
80,stem,contractual,health,100621,1,1
61,law,contractual,law,137017,1,0
82,arts,contractual,accounting,99479,1,1
80,business,unemployed,unemployed,0,1,0
46,law,unemployed,unemployed,0,0,0
57,business,unemployed,unemployed,0,0,0
55,business,self business,it,130277,1,0
45,arts,unemployed,unemployed,0,1,0
84,law,salaried,it,130045,1,1
84,arts,contractual,engineering,70276,1,1
41,law,self business,arts,85878,0,0
83,business,salaried,engineering,125077,1,1
48,business,contractual,arts,104182,0,0
61,business,contractual,arts,63614,1,0
40,arts,unemployed,unemployed,0,1,0
67,business,contractual,engineering,62619,0,0
87,arts,self business,accounting,42547,1,1
58,arts,self business,accounting,42276,1,0
61,stem,unemployed,unemployed,0,0,0
71,law,self business,accounting,138265,0,0
46,law,unemployed,unemployed,0,1,0
47,law,contractual,arts,108358,1,0
63,arts,salaried,it,124844,0,0
64,business,unemployed,unemployed,0,0,0
87,business,contractual,accounting,131443,1,1
84,law,salaried,it,81576,1,1
42,business,contractual,transportation,146960,1,0
55,law,unemployed,unemployed,0,0,0
46,business,self business,transportation,72507,0,0
73,arts,unemployed,unemployed,0,1,0
81,business,salaried,transportation,43626,1,1
76,business,contractual,engineering,70985,1,0
89,arts,salaried,engineering,98887,1,1
51,stem,unemployed,unemployed,0,1,0
74,law,salaried,law,110758,1,1
47,stem,unemployed,unemployed,0,1,0
59,stem,unemployed,unemployed,0,1,0
59,law,contractual,transportation,119787,1,0
83,arts,contractual,accounting,94364,1,1
48,business,contractual,arts,48823,1,0
65,business,self business,arts,52304,1,0
78,arts,contractual,transportation,120504,1,1
82,business,salaried,it,139078,1,1
73,law,unemployed,unemployed,0,1,0
76,arts,salaried,arts,93748,0,0
54,arts,unemployed,unemployed,48797,1,0
73,business,contractual,law,122809,1,1
58,business,contractual,engineering,93324,1,0
55,stem,salaried,health,87389,1,0
74,stem,unemployed,unemployed,106697,0,0
46,law,contractual,accounting,45321,0,0
88,arts,self business,engineering,89977,1,1
89,business,contractual,it,130616,1,1
57,arts,unemployed,unemployed,0,0,0
89,business,self business,engineering,127589,1,1
50,business,unemployed,unemployed,50023,0,0
48,business,unemployed,unemployed,0,0,0
59,business,salaried,health,135786,0,0
75,stem,unemployed,unemployed,0,1,0
79,law,unemployed,unemployed,0,1,0
77,law,self business,health,138822,1,0
43,business,unemployed,unemployed,141196,0,0
75,law,contractual,transportation,128455,1,0
84,arts,self business,health,142320,1,1
69,stem,unemployed,unemployed,0,1,0
56,law,contractual,transportation,61517,1,0
73,law,salaried,law,72689,1,0
42,business,unemployed,unemployed,101295,0,0
58,law,unemployed,unemployed,0,1,0
52,arts,salaried,transportation,144053,1,0
84,stem,salaried,accounting,0,1,1
86,business,contractual,arts,0,1,1
82,business,contractual,law,0,1,1
80,arts,unemployed,unemployed,0,1,0
71,stem,salaried,law,122223,1,0
71,arts,self business,law,128706,1,0
81,law,self business,transportation,75135,1,1
60,arts,self business,it,131035,1,0
50,stem,salaried,it,103421,0,0
56,business,salaried,accounting,65446,0,0
42,business,contractual,accounting,84247,1,0
72,business,unemployed,unemployed,0,0,0
64,stem,unemployed,unemployed,0,0,0
89,law,salaried,it,92390,1,1
85,arts,salaried,it,86817,1,1
51,business,salaried,arts,137629,0,0
84,business,contractual,health,84297,1,1
55,stem,salaried,accounting,122972,0,0
54,law,contractual,engineering,107513,0,0
67,law,contractual,law,74067,1,0
88,stem,salaried,it,46016,1,1
86,stem,salaried,engineering,90134,1,1
53,stem,contractual,engineering,96807,1,0
87,stem,contractual,law,58394,1,1
43,law,unemployed,unemployed,0,1,0
87,law,contractual,health,0,1,1
48,arts,unemployed,unemployed,0,0,0
76,law,self business,accounting,82083,1,0
88,stem,salaried,transportation,41750,1,1
66,law,salaried,health,112863,0,0
70,stem,unemployed,unemployed,0,0,0
78,law,self business,accounting,139106,1,1
57,law,unemployed,unemployed,0,0,0
58,stem,self business,law,106432,0,0
47,law,contractual,law,50074,0,0
65,arts,unemployed,unemployed,0,1,0
55,stem,unemployed,unemployed,0,0,0
84,business,contractual,health,58776,1,1
74,stem,contractual,engineering,134007,1,0
62,law,contractual,it,118993,0,0
48,business,salaried,arts,77666,1,0
86,business,salaried,engineering,57951,1,1
60,arts,self business,law,126277,0,0
72,arts,unemployed,unemployed,0,0,0
86,law,self business,arts,69266,1,1
43,business,self business,transportation,146870,1,0
50,law,unemployed,unemployed,0,1,0
85,stem,self business,it,51597,1,1
82,arts,contractual,engineering,82079,1,1
80,stem,salaried,law,103197,0,0
73,business,contractual,arts,113408,1,0
68,business,contractual,accounting,84086,1,0
70,arts,self business,arts,132816,1,0
84,law,salaried,it,52611,1,1
78,business,self business,health,125496,1,0
63,law,salaried,health,118641,0,0
75,stem,salaried,transportation,56432,0,0
50,arts,contractual,arts,117432,1,0
68,arts,self business,arts,133520,0,0
60,stem,self business,law,82391,0,0
73,business,unemployed,unemployed,142717,0,0
43,business,unemployed,unemployed,41673,0,0
60,law,unemployed,unemployed,0,0,0
75,stem,unemployed,unemployed,0,1,0
73,law,salaried,accounting,117388,1,1
71,stem,self business,law,0,1,1
59,law,unemployed,unemployed,0,1,0
66,law,salaried,engineering,82570,1,0
53,stem,unemployed,unemployed,0,1,0
57,stem,unemployed,unemployed,0,0,0
57,law,salaried,law,124013,0,0
46,law,unemployed,unemployed,0,0,0
80,business,contractual,arts,126554,1,0
89,arts,contractual,health,124419,1,1
55,business,unemployed,unemployed,0,0,0
66,stem,salaried,accounting,57350,0,0
48,law,contractual,law,99818,0,0
67,law,salaried,law,135035,1,0
49,business,unemployed,unemployed,0,1,0
80,stem,contractual,transportation,0,1,1
66,business,salaried,arts,121733,0,0
48,law,contractual,accounting,129310,0,0
